Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"8,1991E-06","0,98656","-0,086954",0,0,0,"1,6","0,0012805","-1,3656E-09","-1,702E-07","0,0014401","-3,6106E-08","0,0016345",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/base_link.STL,,Base_PCB-1;1234-1;Plato-1;Pan_f-2;Servo Arm-1;Barilla-1;Barilla-2;Tapita_Delantera-1;Thruster Motor-1;BaseMotor-1;PesoMedusa-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pan_Link,"-0,0118285338400179","-0,0261988170013136","7,74253961943402E-05",0,0,0,"0,0963022052722061","2,34213925781283E-05","-1,52459122344394E-07","-1,25811602826164E-07","3,24648923973432E-05","-1,96655179436552E-07","4,45511929970947E-05",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/pan_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/pan_Link.STL,,Pant1-1;SERVOMOTOR 45KG-1;Tilt2-1;Servo Arm-2,Origin_pan_joint,Axis_pan_joint,pan_joint,revolute,0,"0,98903","-0,002","1,5708",0,"-1,6072",base_link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
tilt_Link,"-0,00884432479967212","0,000435660039421401","0,0046408733757955",0,0,0,"0,0767741720451825","1,43943261306964E-05","7,70704727691347E-07","4,25377475393785E-07","2,33285419126366E-05","4,33191167756273E-07","3,28588303923382E-05",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/tilt_Link.STL,"0,113725490196078","0,113725490196078","0,113725490196078",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/tilt_Link.STL,,SERVOMOTOR 45KG-2;Giro_arriba-1;Giro_final-1,Origin_tilt_joint,Axis_tilt_joint,tilt_joint,revolute,"-0,0203","-0,06276",0,"1,5708",0,"0,0010716",pan_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
motor_Link,"0,00363771694203027","-4,84031217884429E-14","-0,000258995428377817",0,0,0,"0,0090483578625824","1,57866839015676E-06","-1,8736536211995E-19","-4,66008729710768E-08","2,95091265434574E-06","-6,80256420723492E-21","4,46739001874519E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/motor_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/motor_Link.STL,,AcopleMotor-1,Origin_motor_joint,Axis_motor_joint,motor_joint,continuous,0,"1,0135","-0,2523","-1,5708","-1,549",0,base_link,0,0,1,,,,,,,,,,,,
trans1_Link,"0,0350000024922854","6,15115881407585E-11","3,63174674533617E-06",0,0,0,"0,0127602624789467","2,69533168742575E-07","-2,41708116713188E-14","-2,00375196199614E-14","3,31670440493315E-06","1,88078176772058E-12","3,55270411698295E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/trans1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/trans1_Link.STL,,"Trasmisor-1;p  BEARING, METRIC 600 MINIATURE SERIES, DOUBLE-SHIELDED  5mm ID × 13 OD × 4 W  —  695-ZZ-3;p  BEARING, METRIC 600 MINIATURE SERIES, DOUBLE-SHIELDED  5mm ID × 13 OD × 4 W  —  695-ZZ-1",Origin_trans1_joint,,trans1_joint,fixed,"0,035",0,"0,0003",0,0,"-0,03269",motor_Link,0,1,0,0,0,0,0,,,,,,,,
trans2_Link,"0,0349999975069641","-7,22608908473865E-12","-1,46118672716966E-11",0,0,0,"0,0127602624789467","2,69533168712542E-07","2,27929628751198E-14","-2,0950672417306E-14","3,31670440496319E-06","-1,88077181749526E-12","3,55270411698296E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/trans2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/trans2_Link.STL,,"Trasmisor-2;p  BEARING, METRIC 600 MINIATURE SERIES, DOUBLE-SHIELDED  5mm ID × 13 OD × 4 W  —  695-ZZ-2;p  BEARING, METRIC 600 MINIATURE SERIES, DOUBLE-SHIELDED  5mm ID × 13 OD × 4 W  —  695-ZZ-4",Origin_trans2_joint,,trans2_joint,fixed,"0,035",0,"0,0048",0,0,"3,1307",motor_Link,0,1,0,0,0,0,0,,,,,,,,
des1_Link,"-3,35899144194181E-05","0,0119960295285434","0,000270172693535575",0,0,0,"0,0871606227679131","2,62894561145803E-05","6,01608784088872E-09","1,16637422575552E-07","5,28730397981721E-05","1,42712107940534E-08","3,24830835390945E-05",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/des1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/des1_Link.STL,,Deslizador_1-1;RodamientoLineal8mm-2;RodamientoLineal8mm-1,Origin_des1_joint,Axis_des1_joint,des1_joint,prismatic,0,"0,98903","-0,13532","-1,5708",0,0,base_link,0,1,0,0,0,"-0,75","0,75",,,,,,,,
var1_Link,"0,0372161139419003","-7,38076266770804E-13","3,21964677141295E-15",0,0,0,"0,00336929740146278","1,11779338879997E-08","1,39440296720386E-18","-5,39942144843989E-21","1,74156056743116E-06","1,05879118406788E-22","1,75049230305152E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var1_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var1_Link.STL,,Macho-3/Imprimir-1;Macho-3/s-2;Macho-3/s-1,Origin_var1_joint,,var1_joint,revolute,"0,032641","0,010509","-0,032641","0,72609","0,33133","1,2196",des1_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
var2_Link,"0,0372161139414589","3,09752223870419E-14","4,38916697970515E-15",0,0,0,"0,00336929740146275","1,11779338879994E-08","-1,38723978989431E-19","1,95672873067428E-21","1,74156056743115E-06","-1,57561625863084E-24","1,7504923030515E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var2_Link.STL,"0,843137254901961","0,815686274509804","0,752941176470588",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var2_Link.STL,,Macho-5/s-1;Macho-5/Imprimir-1;Macho-5/s-2,Origin_var2_joint,,var2_joint,revolute,0,"0,012","-0,046","1,5708","0,4817","1,5708",des1_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
var3_Link,"0,0372161139412611","6,08735284401973E-13","3,33066907387547E-15",0,0,0,"0,0033692974014628","1,11779338879993E-08","5,58295131966948E-18","1,90644451678159E-21","1,74156056743117E-06","1,05879118406788E-22","1,75049230305153E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var3_Link.STL,"0,843137254901961","0,815686274509804","0,752941176470588",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var3_Link.STL,,Macho-4/s-1;Macho-4/Imprimir-1;Macho-4/s-2,Origin_var3_joint,,var3_joint,revolute,"-0,032475","0,012","-0,032475","2,4167","0,33437","1,9256",des1_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
